Country,Pollutant,Variable,Year,Unit,PowerCode,Emissions

Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,2.261
Monaco,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,2.358
Costa Rica,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,2.631
Romania,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,3.365
Lithuania,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,3.697
Croatia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,4.283
Mexico,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,4.615
Belarus,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,4.928
TÃ¼rkiye,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,4.957
Colombia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,4.961
Hungary,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,5.462
Portugal,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,5.665
Brazil,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,5.861
Liechtenstein,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,5.868
Switzerland,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.016
Spain,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.023
Latvia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.077
Peru,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.218
France,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.276
Slovak Republic,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.442
Malta,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.45
Italy,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.523
Bulgaria,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.834
Finland,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.914
Norway,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,6.949
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,7.229
China,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,7.993
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,8.082
United Kingdom,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,8.241
Slovenia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,8.457
Ukraine,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,8.479
Argentina,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9
Poland,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9.032
Greece,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9.11
Israel,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9.174
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9.238
Cyprus,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9.379
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9.597
Denmark,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,9.844
Japan,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,10.176
Belgium,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,10.194
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,10.921
Czech Republic,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,11.406
Netherlands,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,11.414
New Zealand,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,11.688
Korea,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,12.734
Ireland,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,14.002
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,15.808
Luxembourg,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,18.627
Canada,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,19.214
United States,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,19.252
Kazakhstan,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,20.557
Australia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,23.676
Iceland,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Kilograms per capita,Thousands,43.425
